c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60
5,M1,Applied Mechanics and Materials Vols. 204-208,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.87,-,-,52.72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M1,Applied Mechanics and Materials Vols. 204-208,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.87,-,-,51.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M2,Applied Mechanics and Materials Vols. 204-209,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.24,-,-,45.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M2,Applied Mechanics and Materials Vols. 204-209,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37.24,-,-,50.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M3,Applied Mechanics and Materials Vols. 204-210,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.76,-,-,59.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M3,Applied Mechanics and Materials Vols. 204-210,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.76,-,-,60.47,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M4,Applied Mechanics and Materials Vols. 204-211,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.83,-,-,50.73,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,M4,Applied Mechanics and Materials Vols. 204-211,On Effects of Fly Ash as a Partial Replacement of Cement on Concrete Strength,"Reagan J. Case, Kai Duan and Thuraichamy G. Suntharavadivel ",2012,52.72,0.45,Fly Ash,45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.83,-,-,50.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6.1,M1,JOURNAL OF MATERIALS IN CIVIL ENGINEERING © ASCE,High-Volume Fly Ash Concrete with High Strength and Low Drying Shrinkage,Cengiz Duran Atis,2003,60.75,0.34,Fly Ash,0,63.3,20.8,4.9,-,3.15,3500,-,2.6,50.2,28.6,13.2,-,2.4,3100,-,-,-,-,12.05,38.41,49.27,-,-,60.75,-,65.03,69.13,-,71,-,-,-,-,1.45,3.5,3.84,-,4.92,-,5.91,6.1,6.4,2.55,3.1,-,-,-,-,-,-
6.1,M2,JOURNAL OF MATERIALS IN CIVIL ENGINEERING © ASCE,High-Volume Fly Ash Concrete with High Strength and Low Drying Shrinkage,Cengiz Duran Atis,2003,60.75,0.32,Fly Ash,0,63.3,20.8,4.9,-,3.15,3500,-,2.6,50.2,28.6,13.2,-,2.4,3100,-,-,-,-,33.51,45.21,52.63,-,-,64.95,-,68.1,72.29,-,77.08,-,-,-,-,3.49,3.92,4.43,-,5.37,-,6.27,6.37,6.55,2.96,3.48,-,-,-,-,-,-
